id;Type;mcsta;mcstashifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;8.224475335471142e-16;1;1.259200181487105e-16;1
coupon.9-4-5.exp_draws;dtmc;1.4409716972916028e-15;1;1.2296227244389844e-15;1
coupon.15-4-5.collect_all_bounded;dtmc;80000;80000;0.0011216706417281742;1
coupon.15-4-5.exp_draws;dtmc;80000;80000;8.985924734956442e-06;1
crowds.5-20.positive;dtmc;1.300093599190326e-15;1;9.515362669829673e-16;1
crowds.6-20.positive;dtmc;2.2810910126389685e-15;1;1.2050697748760292e-15;1
egl.10-2.messagesB;dtmc;1.5583187771991254e-17;1;1.5583187771991254e-17;1
egl.10-2.unfairA;dtmc;1e-20;1;1e-20;1
egl.10-8.messagesB;dtmc;80000;80000;1.0751316283480098e-16;1
egl.10-8.unfairA;dtmc;80000;80000;1e-20;1
haddad-monmege.100-0.7.exp_steps;dtmc;1.0;1;1e-20;1
haddad-monmege.100-0.7.target;dtmc;1.0;1;6.34413156928661e-17;1
nand.40-4.reliable;dtmc;4.5617803606653975e-15;1;6.0164851666546895e-15;1
nand.60-4.reliable;dtmc;4.369369602175868e-15;1;5.3887057404431465e-15;1
embedded.8-12.actuators;ctmc;5.319590641198873e-12;1;0.00041081771136981473;1
embedded.8-12.up_time;ctmc;4.01195578096237e-12;1;2.819483408667705e-12;1
mapk_cascade.4-30.activated_time;ctmc;1e-20;1;1e-20;1
philosophers.16-1.MaxPrReachDeadlock;ctmc;1e-16;1;1e-20;1
philosophers.16-1.MinExpTimeDeadlock;ctmc;1.3752174878464596e-10;1;1.3683548167719424e-10;1
philosophers.20-1.MaxPrReachDeadlock;ctmc;80000;80000;1e-20;1
philosophers.20-1.MinExpTimeDeadlock;ctmc;80000;80000;0.00042332651866160105;1
polling.18-16.s1_before_s2;ctmc;8.04373392182134e-08;1;1e-20;1
beb.4-8-7.LineSeized;mdp;2.85791589995175e-17;1;2.85791589995175e-17;1
beb.5-16-15.LineSeized;mdp;80000;80000;1e-20;1
consensus.4-4.disagree;mdp;2.6152700435214278e-14;1;1.6152596154591074e-10;1
consensus.4-4.steps_min;mdp;1.0677083333333333e-14;1;8.870794270833333e-11;1
consensus.6-2.disagree;mdp;1.2215798022463565e-14;1;5.930552341738654e-11;1
consensus.6-2.steps_min;mdp;5.555555555555555e-15;1;3.7428703703703706e-11;1
csma.3-4.all_before_max;mdp;6.627997924459708e-17;1;6.627997924459708e-17;1
csma.3-4.time_max;mdp;3.035559388707642e-17;1;2.4170418120622427e-14;1
csma.4-2.all_before_max;mdp;1.932587577876039e-16;1;1.932587577876039e-16;1
csma.4-2.time_max;mdp;1.2073953584965321e-16;1;5.549255814893857e-13;1
eajs.5-250-11.ExpUtil;mdp;1.4422885903006456e-15;1;1.5419602649426234e-15;1
eajs.6-300-13.ExpUtil;mdp;1.628203357386497e-15;1;1.379263650168444e-15;1
echoring.100.MaxOffline1;mdp;3.967693976162061e-15;1;3.5867717133825884e-15;1
elevators.b-11-9.goal;mdp;1e-20;1;1e-20;1
exploding-blocksworld.10.goal;mdp;80000;80000;80000;80000
firewire.false-36-800.deadline;mdp;1e-20;1;1e-20;1
pacman.100.crash;mdp;1.1597780225524697e-16;1;6.547166682995522e-17;1
pacman.60.crash;mdp;4.5291388247946815e-17;1;1.361614145755274e-16;1
pnueli-zuck.5.live;mdp;1e-20;1;1e-20;1
pnueli-zuck.10.live;mdp;80000;80000;1e-20;1
rabin.10.live;mdp;80000;80000;1e-20;1
rectangle-tireworld.11.goal;mdp;1e-20;1;1e-20;1
resource-gathering.1300-100-100.expsteps;mdp;3.4097421203438397e-15;1;3.6624641833810887e-13;1
tireworld.45.goal;mdp;6.846892527170477e-07;1;5.802777259719216e-07;1
triangle-tireworld.441.goal;mdp;80000;80000;1e-20;1
wlan.4-0.sent;mdp;1e-20;1;1e-20;1
wlan.4-0.cost_min;mdp;1e-20;1;1e-20;1
wlan.5-0.sent;mdp;1e-20;1;1e-20;1
wlan.5-0.cost_min;mdp;1e-20;1;1e-20;1
wlan.6-0.sent;mdp;1e-20;1;1e-20;1
wlan.6-0.cost_min;mdp;80000;80000;1e-20;1
zenotravel.4-2-2.goal;mdp;8e-16;1;1e-20;1
zeroconf.1000-8-false.correct_max;mdp;5.552947237229823e-16;1;5.552947237229823e-16;1
zeroconf.1000-8-false.correct_min;mdp;4.70833776261531e-16;1;4.70833776261531e-16;1
dpm.6-6-5.PminQueue1Full;ma;1e-20;1;1e-20;1
ftwc.8-5.TimeMax;ma;1.2810166178578765e-08;1;6.511383177863891e-08;1
ftwc.8-5.TimeMin;ma;3.912784174598207e-09;1;6.50979401163311e-08;1
readers-writers.40.exp_time_many_requests;ma;1e-20;1;1e-20;1
stream.1000.exp_buffertime;ma;4.093489606950049e-17;1;7.117894161173153e-17;1
stream.1000.pr_underrun;ma;1.207691470804388e-16;1;3.051134675776875e-16;1
vgs.5-10000.MinExpTimeFailed;ma;80000;80000;2.0723690594421383e-16;1
firewire-pta.30-5000.deadline;pta;1e-20;1;80000;80000
firewire-pta.30-5000.eventually;pta;1e-20;1;1e-20;1
wlan-large.2.E_or;pta;1.1071198198386272e-16;1;1.5217008587569218e-15;1
wlan-large.2.P_max;pta;1e-20;1;1e-20;1
zeroconf-pta.200.deadline;pta;1e-20;1;80000;80000
zeroconf-pta.200.incorrect;pta;4.3376916690326193e-16;1;3.8342691615319097e-13;1
